customerID,gender,SeniorCitizenLabel,Partner,Dependents,tenure,TenureGroup,Contract,InternetService,PaymentMethod,MonthlyCharges,TotalCharges,EstimatedAnnualRevenue,AverageMonthlyValue,MonthlyChargeBand,Churn,ChurnFlag,PredictedChurnProbability,ChurnRiskBand,RecommendedRetentionAction
7469-LKBCI,Male,Non-Senior,No,No,16,13-24 Months,Two year,No,Credit card (automatic),18.95,326.8,227.4,20.425,Low Value,No,0,0.072360937709965,Low Risk,Maintain standard service and monitor customer experience
8091-TTVAX,Male,Non-Senior,Yes,No,58,49+ Months,One year,Fiber optic,Credit card (automatic),100.35,5681.1,1204.1999999999998,97.95,High Value,No,0,0.4170405999306071,Medium Risk,"Targeted engagement, onboarding support and usage monitoring"
0280-XJGEX,Male,Non-Senior,No,No,49,49+ Months,Month-to-month,Fiber optic,Bank transfer (automatic),103.7,5036.3,1244.4,102.78163265306122,High Value,Yes,1,0.6281217813418081,High Risk,Proactive retention campaign and contract upgrade incentive
5129-JLPIS,Male,Non-Senior,No,No,25,25-48 Months,Month-to-month,Fiber optic,Electronic check,105.5,2686.05,1266.0,107.442,High Value,No,0,0.6403548760380916,High Risk,Proactive retention campaign and contract upgrade incentive
3655-SNQYZ,Female,Non-Senior,Yes,Yes,69,49+ Months,Two year,Fiber optic,Credit card (automatic),113.25,7895.15,1359.0,114.42246376811592,High Value,No,0,0.1243017264871128,Low Risk,Maintain standard service and monitor customer experience
8191-XWSZG,Female,Non-Senior,No,No,52,49+ Months,One year,No,Mailed check,20.65,1022.95,247.8,19.672115384615385,Low Value,No,0,0.07302262313191127,Low Risk,Maintain standard service and monitor customer experience
9959-WOFKT,Male,Non-Senior,No,Yes,71,49+ Months,Two year,Fiber optic,Bank transfer (automatic),106.7,7382.25,1280.4,103.97535211267606,High Value,No,0,0.2357179979688469,Low Risk,Maintain standard service and monitor customer experience
4190-MFLUW,Female,Non-Senior,Yes,Yes,10,0-12 Months,Month-to-month,DSL,Credit card (automatic),55.2,528.35,662.4000000000001,52.835,Mid-Low Value,Yes,1,0.4939303794832026,Medium Risk,"Targeted engagement, onboarding support and usage monitoring"
4183-MYFRB,Female,Non-Senior,No,No,21,13-24 Months,Month-to-month,Fiber optic,Electronic check,90.05,1862.9,1080.6,88.70952380952382,High Value,No,0,0.7215925621417995,High Risk,Proactive retention campaign and contract upgrade incentive
8779-QRDMV,Male,Senior,No,No,1,0-12 Months,Month-to-month,DSL,Electronic check,39.65,39.65,475.8,39.65,Mid-Low Value,Yes,1,0.7964263941462362,Critical Risk,"Urgent retention call, service review, personalised offer"
1680-VDCWW,Male,Non-Senior,Yes,No,12,0-12 Months,One year,No,Bank transfer (automatic),19.8,202.25,237.6,16.854166666666668,Low Value,No,0,0.13452965246191806,Low Risk,Maintain standard service and monitor customer experience
1066-JKSGK,Male,Non-Senior,No,No,1,0-12 Months,Month-to-month,No,Mailed check,20.15,20.15,241.8,20.15,Low Value,Yes,1,0.5446139594850764,High Risk,Proactive retention campaign and contract upgrade incentive
3638-WEABW,Female,Non-Senior,Yes,No,58,49+ Months,Two year,DSL,Credit card (automatic),59.9,3505.1,718.8,60.43275862068965,Mid-Low Value,No,0,0.10040941117055839,Low Risk,Maintain standard service and monitor customer experience
6322-HRPFA,Male,Non-Senior,Yes,Yes,49,49+ Months,Month-to-month,DSL,Credit card (automatic),59.6,2970.3,715.2,60.61836734693878,Mid-Low Value,No,0,0.24263391697522363,Low Risk,Maintain standard service and monitor customer experience
6865-JZNKO,Female,Non-Senior,No,No,30,25-48 Months,Month-to-month,DSL,Bank transfer (automatic),55.3,1530.6,663.5999999999999,51.02,Mid-Low Value,No,0,0.3536722088401338,Medium Risk,"Targeted engagement, onboarding support and usage monitoring"
6467-CHFZW,Male,Non-Senior,Yes,Yes,47,25-48 Months,Month-to-month,Fiber optic,Electronic check,99.35,4749.15,1192.1999999999998,101.04574468085106,High Value,Yes,1,0.6744691657033303,High Risk,Proactive retention campaign and contract upgrade incentive
8665-UTDHZ,Male,Non-Senior,Yes,Yes,1,0-12 Months,Month-to-month,DSL,Electronic check,30.2,30.2,362.4,30.2,Low Value,Yes,1,0.6874109396881565,High Risk,Proactive retention campaign and contract upgrade incentive
5248-YGIJN,Male,Non-Senior,Yes,No,72,49+ Months,Two year,DSL,Credit card (automatic),90.25,6369.45,1083.0,88.46458333333334,High Value,No,0,0.057269162821573384,Low Risk,Maintain standard service and monitor customer experience
8773-HHUOZ,Female,Non-Senior,No,Yes,17,13-24 Months,Month-to-month,DSL,Mailed check,64.7,1093.1,776.4000000000001,64.3,Mid-Low Value,Yes,1,0.4885813531041241,Medium Risk,"Targeted engagement, onboarding support and usage monitoring"
3841-NFECX,Female,Senior,Yes,No,71,49+ Months,Two year,Fiber optic,Credit card (automatic),96.35,6766.95,1156.1999999999998,95.30915492957746,High Value,No,0,0.129944726565687,Low Risk,Maintain standard service and monitor customer experience
4929-XIHVW,Male,Senior,Yes,No,2,0-12 Months,Month-to-month,Fiber optic,Credit card (automatic),95.5,181.65,1146.0,90.825,High Value,No,0,0.8533822004503989,Critical Risk,"Urgent retention call, service review, personalised offer"
6827-IEAUQ,Female,Non-Senior,Yes,Yes,27,25-48 Months,One year,DSL,Mailed check,66.15,1874.45,793.8000000000001,69.42407407407407,Mid-Low Value,No,0,0.16355753716087867,Low Risk,Maintain standard service and monitor customer experience
7310-EGVHZ,Male,Non-Senior,No,No,1,0-12 Months,Month-to-month,No,Bank transfer (automatic),20.2,20.2,242.4,20.2,Low Value,No,0,0.5011821514765544,High Risk,Proactive retention campaign and contract upgrade incentive
3413-BMNZE,Male,Senior,No,No,1,0-12 Months,Month-to-month,DSL,Bank transfer (automatic),45.25,45.25,543.0,45.25,Mid-Low Value,No,0,0.7254237823665979,High Risk,Proactive retention campaign and contract upgrade incentive
6234-RAAPL,Female,Non-Senior,Yes,Yes,72,49+ Months,Two year,Fiber optic,Bank transfer (automatic),99.9,7251.7,1198.8000000000002,100.71805555555557,High Value,No,0,0.1260551607132146,Low Risk,Maintain standard service and monitor customer experience
6047-YHPVI,Male,Non-Senior,No,No,5,0-12 Months,Month-to-month,Fiber optic,Electronic check,69.7,316.9,836.4000000000001,63.38,Mid-Low Value,Yes,1,0.8116434462662493,Critical Risk,"Urgent retention call, service review, personalised offer"
6572-ADKRS,Female,Non-Senior,No,No,46,25-48 Months,Month-to-month,Fiber optic,Credit card (automatic),74.8,3548.3,897.5999999999999,77.13695652173914,Mid-High Value,No,0,0.5786410461119285,High Risk,Proactive retention campaign and contract upgrade incentive
5380-WJKOV,Male,Non-Senior,No,No,34,25-48 Months,Month-to-month,Fiber optic,Electronic check,106.35,3549.25,1276.1999999999998,104.38970588235294,High Value,Yes,1,0.6962164830293088,High Risk,Proactive retention campaign and contract upgrade incentive
8168-UQWWF,Female,Non-Senior,No,No,11,0-12 Months,Month-to-month,Fiber optic,Bank transfer (automatic),97.85,1105.4,1174.1999999999998,100.4909090909091,High Value,Yes,1,0.8423606170099265,Critical Risk,"Urgent retention call, service review, personalised offer"
8865-TNMNX,Male,Non-Senior,Yes,Yes,10,0-12 Months,One year,DSL,Mailed check,49.55,475.7,594.5999999999999,47.57,Mid-Low Value,No,0,0.38900007028872496,Medium Risk,"Targeted engagement, onboarding support and usage monitoring"
9489-DEDVP,Female,Non-Senior,Yes,Yes,70,49+ Months,Two year,DSL,Credit card (automatic),69.2,4872.35,830.4000000000001,69.605,Mid-Low Value,No,0,0.08640924720903037,Low Risk,Maintain standard service and monitor customer experience
9867-JCZSP,Female,Non-Senior,Yes,Yes,17,13-24 Months,One year,No,Mailed check,20.75,418.25,249.0,24.602941176470587,Low Value,No,0,0.08246469906630542,Low Risk,Maintain standard service and monitor customer experience
4671-VJLCL,Female,Non-Senior,No,No,63,49+ Months,Two year,DSL,Credit card (automatic),79.85,4861.45,958.2,77.16587301587302,Mid-High Value,No,0,0.08091174649936335,Low Risk,Maintain standard service and monitor customer experience
4080-IIARD,Female,Non-Senior,Yes,No,13,13-24 Months,Month-to-month,DSL,Electronic check,76.2,981.45,914.4,75.49615384615385,Mid-High Value,No,0,0.464881009124764,Medium Risk,"Targeted engagement, onboarding support and usage monitoring"
3714-NTNFO,Female,Non-Senior,No,No,49,49+ Months,Month-to-month,Fiber optic,Electronic check,84.5,3906.7,1014.0,79.72857142857143,Mid-High Value,No,0,0.6527669711458883,High Risk,Proactive retention campaign and contract upgrade incentive
5948-UJZLF,Male,Non-Senior,No,No,2,0-12 Months,Month-to-month,DSL,Mailed check,49.25,97.0,591.0,48.5,Mid-Low Value,No,0,0.6666795506837118,High Risk,Proactive retention campaign and contract upgrade incentive
7760-OYPDY,Female,Non-Senior,No,No,2,0-12 Months,Month-to-month,Fiber optic,Electronic check,80.65,144.15,967.8,72.075,Mid-High Value,Yes,1,0.8637987185726478,Critical Risk,"Urgent retention call, service review, personalised offer"
7639-LIAYI,Male,Non-Senior,No,No,52,49+ Months,Two year,DSL,Credit card (automatic),79.75,4217.8,957.0,81.11153846153846,Mid-High Value,No,0,0.10145722421409775,Low Risk,Maintain standard service and monitor customer experience
2954-PIBKO,Female,Non-Senior,Yes,Yes,69,49+ Months,Two year,DSL,Credit card (automatic),64.15,4254.1,769.8000000000001,61.6536231884058,Mid-Low Value,No,0,0.08132258994576945,Low Risk,Maintain standard service and monitor customer experience
8012-SOUDQ,Female,Senior,No,No,43,25-48 Months,Month-to-month,Fiber optic,Electronic check,90.25,3838.75,1083.0,89.27325581395348,High Value,No,0,0.6820495285203223,High Risk,Proactive retention campaign and contract upgrade incentive
9420-LOJKX,Female,Non-Senior,No,No,15,13-24 Months,Month-to-month,Fiber optic,Credit card (automatic),99.1,1426.4,1189.1999999999998,95.09333333333332,High Value,Yes,1,0.6833572122133895,High Risk,Proactive retention campaign and contract upgrade incentive
6575-SUVOI,Female,Senior,Yes,No,25,25-48 Months,Month-to-month,DSL,Credit card (automatic),69.5,1752.65,834.0,70.10600000000001,Mid-Low Value,No,0,0.3539299785624905,Medium Risk,"Targeted engagement, onboarding support and usage monitoring"
7495-OOKFY,Female,Senior,Yes,No,8,0-12 Months,Month-to-month,Fiber optic,Credit card (automatic),80.65,633.3,967.8,79.1625,Mid-High Value,Yes,1,0.8305728225018428,Critical Risk,"Urgent retention call, service review, personalised offer"
4667-QONEA,Female,Senior,Yes,Yes,60,49+ Months,One year,DSL,Credit card (automatic),74.85,4456.35,898.1999999999999,74.27250000000001,Mid-High Value,No,0,0.18091014958433882,Low Risk,Maintain standard service and monitor customer experience
1658-BYGOY,Male,Senior,No,No,18,13-24 Months,Month-to-month,Fiber optic,Electronic check,95.45,1752.55,1145.4,97.36388888888888,High Value,Yes,1,0.7762007764315628,Critical Risk,"Urgent retention call, service review, personalised offer"
8769-KKTPH,Female,Non-Senior,Yes,Yes,63,49+ Months,One year,Fiber optic,Credit card (automatic),99.65,6311.2,1195.8000000000002,100.17777777777778,High Value,No,0,0.37739265287630647,Medium Risk,"Targeted engagement, onboarding support and usage monitoring"
5067-XJQFU,Male,Senior,Yes,Yes,66,49+ Months,One year,Fiber optic,Electronic check,108.45,7076.35,1301.4,107.21742424242424,High Value,No,0,0.4369839480006382,Medium Risk,"Targeted engagement, onboarding support and usage monitoring"
3957-SQXML,Female,Non-Senior,Yes,Yes,34,25-48 Months,Two year,No,Credit card (automatic),24.95,894.3,299.4,26.302941176470583,Low Value,No,0,0.049506306894631154,Low Risk,Maintain standard service and monitor customer experience
5954-BDFSG,Female,Non-Senior,No,No,72,49+ Months,Two year,Fiber optic,Credit card (automatic),107.5,7853.7,1290.0,109.07916666666668,High Value,No,0,0.2727832259443013,Medium Risk,"Targeted engagement, onboarding support and usage monitoring"
0434-CSFON,Female,Non-Senior,Yes,No,47,25-48 Months,Month-to-month,Fiber optic,Electronic check,100.5,4707.1,1206.0,100.15106382978723,High Value,No,0,0.7098649302123815,High Risk,Proactive retention campaign and contract upgrade incentive
1215-FIGMP,Male,Non-Senior,No,No,60,49+ Months,Month-to-month,Fiber optic,Bank transfer (automatic),89.9,5450.7,1078.8000000000002,90.845,High Value,No,0,0.5587573536981555,High Risk,Proactive retention campaign and contract upgrade incentive
0526-SXDJP,Male,Non-Senior,Yes,No,72,49+ Months,Two year,DSL,Bank transfer (automatic),42.1,2962.0,505.2000000000001,41.138888888888886,Mid-Low Value,No,0,0.09594969194546449,Low Risk,Maintain standard service and monitor customer experience
0557-ASKVU,Female,Non-Senior,Yes,Yes,18,13-24 Months,One year,DSL,Credit card (automatic),54.4,957.1,652.8,53.172222222222224,Mid-Low Value,No,0,0.2850683619301304,Medium Risk,"Targeted engagement, onboarding support and usage monitoring"
5698-BQJOH,Female,Non-Senior,No,No,9,0-12 Months,Month-to-month,Fiber optic,Electronic check,94.4,857.25,1132.8000000000002,95.25,High Value,Yes,1,0.8504526672614641,Critical Risk,"Urgent retention call, service review, personalised offer"
5122-CYFXA,Female,Non-Senior,No,No,3,0-12 Months,Month-to-month,DSL,Electronic check,75.3,244.1,903.6,81.36666666666666,Mid-High Value,No,0,0.644418977509085,High Risk,Proactive retention campaign and contract upgrade incentive
8627-ZYGSZ,Male,Non-Senior,Yes,No,47,25-48 Months,One year,Fiber optic,Electronic check,78.9,3650.35,946.8,77.66702127659575,Mid-High Value,No,0,0.3980099270595479,Medium Risk,"Targeted engagement, onboarding support and usage monitoring"
3410-YOQBQ,Female,Non-Senior,No,No,31,25-48 Months,Two year,DSL,Mailed check,79.2,2497.2,950.4,80.55483870967741,Mid-High Value,No,0,0.14171981121504243,Low Risk,Maintain standard service and monitor customer experience
3170-NMYVV,Female,Non-Senior,Yes,Yes,50,49+ Months,Two year,No,Bank transfer (automatic),20.15,930.9,241.8,18.618,Low Value,No,0,0.046113038213819534,Low Risk,Maintain standard service and monitor customer experience
7410-OIEDU,Male,Non-Senior,No,No,10,0-12 Months,Month-to-month,Fiber optic,Mailed check,79.85,887.35,958.2,88.735,Mid-High Value,No,0,0.718809467456133,High Risk,Proactive retention campaign and contract upgrade incentive
2273-QCKXA,Male,Non-Senior,No,No,1,0-12 Months,Month-to-month,DSL,Mailed check,49.05,49.05,588.5999999999999,49.05,Mid-Low Value,No,0,0.6235232686253884,High Risk,Proactive retention campaign and contract upgrade incentive
0731-EBJQB,Female,Non-Senior,Yes,Yes,52,49+ Months,One year,No,Electronic check,20.4,1090.65,244.8,20.974038461538463,Low Value,No,0,0.07803960231750967,Low Risk,Maintain standard service and monitor customer experience
1891-QRQSA,Male,Senior,Yes,Yes,64,49+ Months,Two year,Fiber optic,Bank transfer (automatic),111.6,7099.0,1339.1999999999998,110.921875,High Value,No,0,0.279913445940011,Medium Risk,"Targeted engagement, onboarding support and usage monitoring"
8028-PNXHQ,Male,Non-Senior,Yes,Yes,62,49+ Months,Two year,No,Bank transfer (automatic),24.25,1424.6,291.0,22.97741935483871,Low Value,No,0,0.0301342006818095,Low Risk,Maintain standard service and monitor customer experience
5630-AHZIL,Female,Non-Senior,No,Yes,3,0-12 Months,Month-to-month,DSL,Bank transfer (automatic),64.5,177.4,774.0,59.13333333333333,Mid-Low Value,No,0,0.47158978097446486,Medium Risk,"Targeted engagement, onboarding support and usage monitoring"
2673-CXQEU,Female,Senior,No,No,56,49+ Months,One year,Fiber optic,Electronic check,110.5,6139.5,1326.0,109.63392857142856,High Value,No,0,0.4290232348132788,Medium Risk,"Targeted engagement, onboarding support and usage monitoring"
6416-JNVRK,Female,Non-Senior,No,No,46,25-48 Months,One year,DSL,Credit card (automatic),55.65,2688.85,667.8,58.45326086956521,Mid-Low Value,No,0,0.26037666963134837,Medium Risk,"Targeted engagement, onboarding support and usage monitoring"
5590-ZSKRV,Female,Non-Senior,Yes,Yes,8,0-12 Months,Month-to-month,DSL,Mailed check,54.65,482.25,655.8,60.28125,Mid-Low Value,No,0,0.4280930491016246,Medium Risk,"Targeted engagement, onboarding support and usage monitoring"
0191-ZHSKZ,Male,Senior,No,No,30,25-48 Months,Month-to-month,DSL,Electronic check,74.75,2111.3,897.0,70.37666666666668,Mid-High Value,No,0,0.45300915132115877,Medium Risk,"Targeted engagement, onboarding support and usage monitoring"
3887-PBQAO,Female,Non-Senior,Yes,Yes,45,25-48 Months,One year,No,Credit card (automatic),25.9,1216.6,310.79999999999995,27.035555555555558,Low Value,No,0,0.09866629867989492,Low Risk,Maintain standard service and monitor customer experience
5919-TMRGD,Female,Non-Senior,No,Yes,1,0-12 Months,Month-to-month,Fiber optic,Electronic check,79.35,79.35,952.2,79.35,Mid-High Value,Yes,1,0.8846004801300833,Critical Risk,"Urgent retention call, service review, personalised offer"
8108-UXRQN,Female,Non-Senior,Yes,Yes,11,0-12 Months,Month-to-month,DSL,Electronic check,50.55,565.35,606.5999999999999,51.39545454545455,Mid-Low Value,No,0,0.49776350180654555,Medium Risk,"Targeted engagement, onboarding support and usage monitoring"
9191-MYQKX,Female,Non-Senior,Yes,No,7,0-12 Months,Month-to-month,Fiber optic,Bank transfer (automatic),75.15,496.9,901.8,70.98571428571428,Mid-High Value,Yes,1,0.8208082708184733,Critical Risk,"Urgent retention call, service review, personalised offer"
9919-YLNNG,Female,Non-Senior,No,No,42,25-48 Months,Month-to-month,Fiber optic,Bank transfer (automatic),103.8,4327.5,1245.6,103.03571428571428,High Value,No,0,0.5675296287274053,High Risk,Proactive retention campaign and contract upgrade incentive
0318-ZOPWS,Female,Non-Senior,Yes,No,49,49+ Months,Two year,No,Bank transfer (automatic),20.15,973.35,241.8,19.864285714285717,Low Value,No,0,0.04121962901242089,Low Risk,Maintain standard service and monitor customer experience
4445-ZJNMU,Male,Non-Senior,No,No,9,0-12 Months,Month-to-month,Fiber optic,Credit card (automatic),99.3,918.75,1191.6,102.08333333333331,High Value,No,0,0.8486936835283581,Critical Risk,"Urgent retention call, service review, personalised offer"
4808-YNLEU,Female,Non-Senior,Yes,No,35,25-48 Months,One year,DSL,Bank transfer (automatic),62.15,2215.45,745.8,63.29857142857142,Mid-Low Value,No,0,0.18311751990719802,Low Risk,Maintain standard service and monitor customer experience
1862-QRWPE,Female,Non-Senior,Yes,Yes,48,25-48 Months,Two year,No,Bank transfer (automatic),20.65,1057.0,247.8,22.02083333333333,Low Value,No,0,0.035715544268706274,Low Risk,Maintain standard service and monitor customer experience
2796-NNUFI,Female,Non-Senior,Yes,Yes,46,25-48 Months,Two year,No,Mailed check,19.95,927.1,239.4,20.15434782608696,Low Value,No,0,0.033595017104288735,Low Risk,Maintain standard service and monitor customer experience
3016-KSVCP,Male,Non-Senior,Yes,No,29,25-48 Months,Month-to-month,DSL,Mailed check,33.75,1009.25,405.0,34.80172413793103,Low Value,No,0,0.46212819173073433,Medium Risk,"Targeted engagement, onboarding support and usage monitoring"
4767-HZZHQ,Male,Non-Senior,Yes,Yes,30,25-48 Months,Month-to-month,Fiber optic,Bank transfer (automatic),82.05,2570.2,984.6,85.67333333333333,Mid-High Value,No,0,0.5403465892487216,High Risk,Proactive retention campaign and contract upgrade incentive
2424-WVHPL,Male,Senior,No,No,1,0-12 Months,Month-to-month,Fiber optic,Electronic check,74.7,74.7,896.4000000000001,74.7,Mid-High Value,No,0,0.758706856374868,Critical Risk,"Urgent retention call, service review, personalised offer"
7233-PAHHL,Male,Non-Senior,Yes,Yes,66,49+ Months,Two year,DSL,Mailed check,84.0,5714.25,1008.0,86.57954545454545,Mid-High Value,No,0,0.07113443497345723,Low Risk,Maintain standard service and monitor customer experience
6067-NGCEU,Female,Non-Senior,No,No,65,49+ Months,Month-to-month,Fiber optic,Credit card (automatic),111.05,7107.0,1332.6,109.33846153846154,High Value,No,0,0.490986371226936,Medium Risk,"Targeted engagement, onboarding support and usage monitoring"
9848-JQJTX,Male,Non-Senior,No,No,72,49+ Months,Two year,Fiber optic,Bank transfer (automatic),100.9,7459.05,1210.8000000000002,103.59791666666666,High Value,No,0,0.2905370893497558,Medium Risk,"Targeted engagement, onboarding support and usage monitoring"
8637-XJIVR,Female,Non-Senior,No,No,12,0-12 Months,Month-to-month,Fiber optic,Electronic check,78.95,927.35,947.4,77.27916666666667,Mid-High Value,Yes,1,0.734906900896435,High Risk,Proactive retention campaign and contract upgrade incentive
9803-FTJCG,Male,Non-Senior,Yes,Yes,71,49+ Months,One year,DSL,Credit card (automatic),66.85,4748.7,802.1999999999999,66.8830985915493,Mid-Low Value,No,0,0.14556802687407197,Low Risk,Maintain standard service and monitor customer experience
0278-YXOOG,Male,Non-Senior,No,No,5,0-12 Months,Month-to-month,No,Mailed check,21.05,113.85,252.6,22.77,Low Value,Yes,1,0.295970827697298,Medium Risk,"Targeted engagement, onboarding support and usage monitoring"
3212-KXOCR,Male,Non-Senior,No,No,52,49+ Months,Two year,No,Bank transfer (automatic),21.0,1107.2,252.0,21.29230769230769,Low Value,No,0,0.05141387715632559,Low Risk,Maintain standard service and monitor customer experience
4598-XLKNJ,Female,Senior,Yes,No,25,25-48 Months,Month-to-month,Fiber optic,Electronic check,98.5,2514.5,1182.0,100.58,High Value,Yes,1,0.7359905609130984,High Risk,Proactive retention campaign and contract upgrade incentive
6380-ARCEH,Male,Non-Senior,No,No,1,0-12 Months,Month-to-month,No,Mailed check,20.2,20.2,242.4,20.2,Low Value,No,0,0.5336619646901868,High Risk,Proactive retention campaign and contract upgrade incentive
3679-XASPY,Female,Non-Senior,Yes,Yes,1,0-12 Months,Month-to-month,No,Electronic check,19.45,19.45,233.4,19.45,Low Value,No,0,0.47339619856754156,Medium Risk,"Targeted engagement, onboarding support and usage monitoring"
7123-WQUHX,Male,Non-Senior,No,No,38,25-48 Months,One year,Fiber optic,Bank transfer (automatic),95.0,3605.6,1140.0,94.88421052631578,High Value,No,0,0.35592301633892254,Medium Risk,"Targeted engagement, onboarding support and usage monitoring"
5386-THSLQ,Female,Senior,Yes,No,66,49+ Months,One year,DSL,Bank transfer (automatic),45.55,3027.25,546.5999999999999,45.86742424242424,Mid-Low Value,No,0,0.25572868949106253,Medium Risk,"Targeted engagement, onboarding support and usage monitoring"
3192-NQECA,Male,Non-Senior,Yes,No,68,49+ Months,Two year,Fiber optic,Bank transfer (automatic),110.0,7611.85,1320.0,111.93897058823528,High Value,Yes,1,0.32992597462088147,Medium Risk,"Targeted engagement, onboarding support and usage monitoring"
6180-YBIQI,Male,Non-Senior,No,No,5,0-12 Months,Month-to-month,DSL,Mailed check,24.3,100.2,291.6,20.04,Low Value,No,0,0.666497510908557,High Risk,Proactive retention campaign and contract upgrade incentive
6728-DKUCO,Female,Non-Senior,Yes,Yes,72,49+ Months,One year,Fiber optic,Electronic check,104.15,7303.05,1249.8000000000002,101.43125,High Value,No,0,0.33058534449691024,Medium Risk,"Targeted engagement, onboarding support and usage monitoring"
9750-BOOHV,Female,Non-Senior,No,No,32,25-48 Months,One year,DSL,Mailed check,30.15,927.65,361.8,28.9890625,Low Value,No,0,0.2222296056289461,Low Risk,Maintain standard service and monitor customer experience
8597-CWYHH,Male,Non-Senior,No,No,43,25-48 Months,One year,Fiber optic,Mailed check,94.35,3921.3,1132.1999999999998,91.19302325581396,High Value,No,0,0.44108078148615315,Medium Risk,"Targeted engagement, onboarding support and usage monitoring"
2848-YXSMW,Male,Non-Senior,Yes,Yes,72,49+ Months,Two year,No,Credit card (automatic),19.4,1363.25,232.8,18.93402777777778,Low Value,No,0,0.03352558002440849,Low Risk,Maintain standard service and monitor customer experience
0486-HECZI,Male,Non-Senior,Yes,No,55,49+ Months,Month-to-month,Fiber optic,Electronic check,96.75,5238.9,1161.0,95.25272727272728,High Value,Yes,1,0.5405976254511462,High Risk,Proactive retention campaign and contract upgrade incentive
4549-ZDQYY,Female,Non-Senior,No,No,52,49+ Months,One year,DSL,Credit card (automatic),57.95,3042.25,695.4000000000001,58.50480769230769,Mid-Low Value,No,0,0.131805351012794,Low Risk,Maintain standard service and monitor customer experience
5712-AHQNN,Female,Non-Senior,No,No,43,25-48 Months,Month-to-month,Fiber optic,Electronic check,91.65,3954.1,1099.8000000000002,91.95581395348836,High Value,No,0,0.6521159938705727,High Risk,Proactive retention campaign and contract upgrade incentive
4846-WHAFZ,Female,Senior,Yes,No,37,25-48 Months,Month-to-month,Fiber optic,Electronic check,76.5,2868.15,918.0,77.51756756756757,Mid-High Value,Yes,1,0.6938121439959588,High Risk,Proactive retention campaign and contract upgrade incentive
5256-SKJGO,Female,Non-Senior,Yes,Yes,64,49+ Months,Two year,DSL,Electronic check,54.6,3423.5,655.2,53.4921875,Mid-Low Value,No,0,0.14437785823931637,Low Risk,Maintain standard service and monitor customer experience
3071-VBYPO,Male,Non-Senior,Yes,Yes,3,0-12 Months,Month-to-month,Fiber optic,Electronic check,89.85,248.4,1078.1999999999998,82.8,Mid-High Value,No,0,0.7031101440987189,High Risk,Proactive retention campaign and contract upgrade incentive
